brand,channel,month,genuine_efficiency_gain,spend_reduction_artifact,mix_shift_artifact,survivorship_bias,external_demand_spike,creative_refresh,group_id,event_keys
Aster Wellness,display,2024-07,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#7,brand:Aster Wellness#0
Aster Wellness,display,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Aster Wellness,display,2025-04,0.0,1.0,0.0,0.0,0.0,0.0,brand:Aster Wellness#3,brand:Aster Wellness#3
Aster Wellness,display,2025-05,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#6,brand:Aster Wellness#2;brand:Aster Wellness#6
Aster Wellness,display,2025-06,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#6,brand:Aster Wellness#2
Aster Wellness,display,2025-07,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#6,brand:Aster Wellness#2
Aster Wellness,display,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Aster Wellness,paid_search,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,paid_search,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,paid_search,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,paid_search,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Aster Wellness#7,brand:Aster Wellness#7
Aster Wellness,paid_search,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Aster Wellness,paid_search,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Aster Wellness,retail_media,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,retail_media,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,retail_media,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,retail_media,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Aster Wellness#7,brand:Aster Wellness#7
Aster Wellness,retail_media,2025-02,0.0,0.0,0.0,0.0,0.0,1.0,category:home_personal_wellness#1,brand:Aster Wellness#5
Aster Wellness,retail_media,2025-03,0.0,0.0,0.0,0.0,0.474551173729889,0.5254488262701111,category:home_personal_wellness#1,brand:Aster Wellness#5;category:home_personal_wellness#1
Aster Wellness,retail_media,2025-04,0.0,0.0,0.0,0.0,0.0,1.0,category:home_personal_wellness#1,brand:Aster Wellness#5
Aster Wellness,retail_media,2025-05,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#6,brand:Aster Wellness#2
Aster Wellness,retail_media,2025-06,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#6,brand:Aster Wellness#2
Aster Wellness,retail_media,2025-07,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#6,brand:Aster Wellness#2
Aster Wellness,retail_media,2025-09,0.5685306667598102,0.0,0.0,0.0,0.4314693332401898,0.0,category:home_personal_wellness#2,brand:Aster Wellness#4;category:home_personal_wellness#2
Aster Wellness,retail_media,2025-10,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#2,brand:Aster Wellness#4
Aster Wellness,retail_media,2025-11,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#2,brand:Aster Wellness#4
Aster Wellness,social,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,social,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,social,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,social,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Aster Wellness#7,brand:Aster Wellness#7
Aster Wellness,social,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Aster Wellness,social,2025-06,1.0,0.0,0.0,0.0,0.0,0.0,brand:Aster Wellness#1,brand:Aster Wellness#1
Aster Wellness,social,2025-07,1.0,0.0,0.0,0.0,0.0,0.0,brand:Aster Wellness#1,brand:Aster Wellness#1
Aster Wellness,social,2025-08,1.0,0.0,0.0,0.0,0.0,0.0,brand:Aster Wellness#1,brand:Aster Wellness#1
Aster Wellness,social,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Crestline Beverages,affiliate,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,affiliate,2024-05,0.0,0.0,0.0,1.0,0.0,0.0,brand:Crestline Beverages#3,brand:Crestline Beverages#3
Crestline Beverages,affiliate,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,affiliate,2025-07,0.0,0.0,0.0,0.0,0.0,1.0,brand:Crestline Beverages#5,brand:Crestline Beverages#5
Crestline Beverages,affiliate,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Crestline Beverages,audio,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,audio,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,audio,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Crestline Beverages,digital_video,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,digital_video,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,digital_video,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Crestline Beverages,ooh,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,ooh,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,ooh,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Crestline Beverages,paid_search,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,paid_search,2024-01,0.34722656636703825,0.0,0.0,0.0,0.0,0.6527734336329618,brand:Crestline Beverages#1,brand:Crestline Beverages#1
Crestline Beverages,paid_search,2024-02,0.34722656636703825,0.0,0.0,0.0,0.0,0.6527734336329618,brand:Crestline Beverages#1,brand:Crestline Beverages#1
Crestline Beverages,paid_search,2024-03,0.34722656636703825,0.0,0.0,0.0,0.0,0.6527734336329618,brand:Crestline Beverages#1,brand:Crestline Beverages#1
Crestline Beverages,paid_search,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,paid_search,2025-05,0.5811314742093744,0.0,0.0,0.0,0.0,0.41886852579062556,brand:Crestline Beverages#7,brand:Crestline Beverages#7
Crestline Beverages,paid_search,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Crestline Beverages,retail_media,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,retail_media,2023-08,0.0,0.0,0.0,1.0,0.0,0.0,brand:Crestline Beverages#0,brand:Crestline Beverages#0
Crestline Beverages,retail_media,2024-05,0.7953127384527,0.0,0.0,0.0,0.0,0.2046872615473,brand:Crestline Beverages#6,brand:Crestline Beverages#6
Crestline Beverages,retail_media,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,retail_media,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Crestline Beverages,social,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,social,2024-09,0.0,0.0,0.0,1.0,0.0,0.0,brand:Crestline Beverages#2,brand:Crestline Beverages#2
Crestline Beverages,social,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,social,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Crestline Beverages,tv,2023-06,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#0,category:food_beverage#0
Crestline Beverages,tv,2024-01,0.34722656636703825,0.0,0.0,0.0,0.0,0.6527734336329618,brand:Crestline Beverages#1,brand:Crestline Beverages#1
Crestline Beverages,tv,2024-02,0.34722656636703825,0.0,0.0,0.0,0.0,0.6527734336329618,brand:Crestline Beverages#1,brand:Crestline Beverages#1
Crestline Beverages,tv,2024-03,0.34722656636703825,0.0,0.0,0.0,0.0,0.6527734336329618,brand:Crestline Beverages#1,brand:Crestline Beverages#1
Crestline Beverages,tv,2024-06,0.0,0.0,0.0,1.0,0.0,0.0,brand:Crestline Beverages#4,brand:Crestline Beverages#4
Crestline Beverages,tv,2025-02,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#1,category:food_beverage#1
Crestline Beverages,tv,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:food_beverage#2,category:food_beverage#2
Halcyon Personal Care,affiliate,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,affiliate,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,affiliate,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,affiliate,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Halcyon Personal Care,affiliate,2025-08,0.0,0.0,0.0,0.0,0.0,1.0,brand:Halcyon Personal Care#0,brand:Halcyon Personal Care#0
Halcyon Personal Care,affiliate,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Halcyon Personal Care,digital_video,2023-04,0.0,0.0,0.0,0.0,0.0,1.0,brand:Halcyon Personal Care#5,brand:Halcyon Personal Care#5
Halcyon Personal Care,digital_video,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,digital_video,2023-12,0.0,0.0,0.0,0.5543768350449292,0.4456231649550707,0.0,category:home_personal_wellness#0,brand:Halcyon Personal Care#6;category:home_personal_wellness#0
Halcyon Personal Care,digital_video,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,digital_video,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Halcyon Personal Care,digital_video,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Halcyon Personal Care,display,2023-02,0.0,0.0,0.0,0.0,0.0,1.0,brand:Halcyon Personal Care#2,brand:Halcyon Personal Care#2
Halcyon Personal Care,display,2023-04,1.0,0.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#4,brand:Halcyon Personal Care#4
Halcyon Personal Care,display,2023-05,1.0,0.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#4,brand:Halcyon Personal Care#4
Halcyon Personal Care,display,2023-06,1.0,0.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#4,brand:Halcyon Personal Care#4
Halcyon Personal Care,display,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,display,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,display,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,display,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Halcyon Personal Care,display,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Halcyon Personal Care,paid_search,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,paid_search,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,paid_search,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,paid_search,2024-02,0.0,1.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#3,brand:Halcyon Personal Care#3
Halcyon Personal Care,paid_search,2024-03,0.0,1.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#3,brand:Halcyon Personal Care#3
Halcyon Personal Care,paid_search,2024-04,0.0,1.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#3,brand:Halcyon Personal Care#3
Halcyon Personal Care,paid_search,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Halcyon Personal Care,paid_search,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Halcyon Personal Care,retail_media,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,retail_media,2023-12,0.0,0.0,0.0,0.5543768350449292,0.4456231649550707,0.0,category:home_personal_wellness#0,brand:Halcyon Personal Care#6;category:home_personal_wellness#0
Halcyon Personal Care,retail_media,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,retail_media,2025-03,0.0,0.0,0.0,0.5254488262701111,0.4745511737298889,0.0,category:home_personal_wellness#1,brand:Halcyon Personal Care#1;category:home_personal_wellness#1
Halcyon Personal Care,retail_media,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Halcyon Personal Care,social,2023-02,0.0,0.0,0.0,0.0,0.0,1.0,brand:Halcyon Personal Care#2,brand:Halcyon Personal Care#2
Halcyon Personal Care,social,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,social,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,social,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Halcyon Personal Care,social,2024-02,0.0,1.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#3,brand:Halcyon Personal Care#3
Halcyon Personal Care,social,2024-03,0.0,1.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#3,brand:Halcyon Personal Care#3
Halcyon Personal Care,social,2024-04,0.0,1.0,0.0,0.0,0.0,0.0,brand:Halcyon Personal Care#3,brand:Halcyon Personal Care#3
Halcyon Personal Care,social,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Halcyon Personal Care,social,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Nimbus Home,audio,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,audio,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,audio,2024-01,0.5543768350449292,0.0,0.0,0.0,0.4456231649550707,0.0,category:home_personal_wellness#0,brand:Nimbus Home#1;category:home_personal_wellness#0
Nimbus Home,audio,2024-02,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#0,brand:Nimbus Home#1
Nimbus Home,audio,2024-03,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#0,brand:Nimbus Home#1
Nimbus Home,audio,2024-05,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,audio,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,audio,2024-07,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,audio,2024-11,0.0,0.0,0.0,0.0,0.0,1.0,brand:Nimbus Home#3,brand:Nimbus Home#3
Nimbus Home,audio,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Nimbus Home,audio,2025-05,1.0,0.0,0.0,0.0,0.0,0.0,brand:Nimbus Home#0,brand:Nimbus Home#0
Nimbus Home,audio,2025-06,1.0,0.0,0.0,0.0,0.0,0.0,brand:Nimbus Home#0,brand:Nimbus Home#0
Nimbus Home,audio,2025-07,1.0,0.0,0.0,0.0,0.0,0.0,brand:Nimbus Home#0,brand:Nimbus Home#0
Nimbus Home,audio,2025-08,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#2,brand:Nimbus Home#7
Nimbus Home,audio,2025-09,0.5685306667598102,0.0,0.0,0.0,0.4314693332401898,0.0,category:home_personal_wellness#2,brand:Nimbus Home#7;category:home_personal_wellness#2
Nimbus Home,audio,2025-10,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#2,brand:Nimbus Home#7
Nimbus Home,digital_video,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,digital_video,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,digital_video,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,digital_video,2024-05,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,digital_video,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,digital_video,2024-07,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,digital_video,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Nimbus Home,digital_video,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Nimbus Home,display,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,display,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,display,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,display,2024-05,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,display,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,display,2024-07,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,display,2024-11,0.0,0.0,0.0,0.0,0.0,1.0,brand:Nimbus Home#3,brand:Nimbus Home#3
Nimbus Home,display,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Nimbus Home,display,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Nimbus Home,paid_search,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,paid_search,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,paid_search,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,paid_search,2024-05,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,paid_search,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,paid_search,2024-07,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,paid_search,2025-02,0.0,0.0,0.0,0.0,0.0,1.0,brand:Nimbus Home#2,brand:Nimbus Home#2
Nimbus Home,paid_search,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Nimbus Home,paid_search,2025-08,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#2,brand:Nimbus Home#6
Nimbus Home,paid_search,2025-09,0.5685306667598102,0.0,0.0,0.0,0.4314693332401898,0.0,category:home_personal_wellness#2,brand:Nimbus Home#6;category:home_personal_wellness#2
Nimbus Home,paid_search,2025-10,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#2,brand:Nimbus Home#6
Nimbus Home,retail_media,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,retail_media,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,retail_media,2024-01,0.5543768350449292,0.0,0.0,0.0,0.4456231649550707,0.0,category:home_personal_wellness#0,brand:Nimbus Home#1;category:home_personal_wellness#0
Nimbus Home,retail_media,2024-02,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#0,brand:Nimbus Home#1
Nimbus Home,retail_media,2024-03,1.0,0.0,0.0,0.0,0.0,0.0,category:home_personal_wellness#0,brand:Nimbus Home#1
Nimbus Home,retail_media,2024-04,0.0,1.0,0.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#5
Nimbus Home,retail_media,2024-05,0.0,0.5,0.5,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4;brand:Nimbus Home#5
Nimbus Home,retail_media,2024-06,0.0,0.5,0.5,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4;brand:Nimbus Home#5
Nimbus Home,retail_media,2024-07,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,retail_media,2025-02,0.0,0.0,0.0,0.0,0.0,1.0,brand:Nimbus Home#2,brand:Nimbus Home#2
Nimbus Home,retail_media,2025-03,0.0,0.5254488262701111,0.0,0.0,0.4745511737298889,0.0,category:home_personal_wellness#1,brand:Nimbus Home#8;category:home_personal_wellness#1
Nimbus Home,retail_media,2025-05,1.0,0.0,0.0,0.0,0.0,0.0,brand:Nimbus Home#0,brand:Nimbus Home#0
Nimbus Home,retail_media,2025-06,1.0,0.0,0.0,0.0,0.0,0.0,brand:Nimbus Home#0,brand:Nimbus Home#0
Nimbus Home,retail_media,2025-07,1.0,0.0,0.0,0.0,0.0,0.0,brand:Nimbus Home#0,brand:Nimbus Home#0
Nimbus Home,retail_media,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Nimbus Home,social,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,social,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,social,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Nimbus Home,social,2024-05,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
Nimbus Home,social,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Nimbus Home#5,brand:Nimbus Home#4
