threshold,precision,recall,fp,fn,cost
4.45,1.0,0.02356902356902357,0,290,1450.0
4.5,1.0,0.020202020202020204,0,291,1455.0
4.55,1.0,0.020202020202020204,0,291,1455.0
4.6,1.0,0.020202020202020204,0,291,1455.0
4.6499999999999995,1.0,0.020202020202020204,0,291,1455.0
4.7,1.0,0.020202020202020204,0,291,1455.0
4.75,1.0,0.020202020202020204,0,291,1455.0
4.8,1.0,0.020202020202020204,0,291,1455.0
4.85,1.0,0.020202020202020204,0,291,1455.0
4.8999999999999995,1.0,0.020202020202020204,0,291,1455.0
4.95,1.0,0.020202020202020204,0,291,1455.0
5.0,1.0,0.020202020202020204,0,291,1455.0
