event_id,event_key,brand,brands,category,channels,scope,start_month,end_month,shape,causes
3,brand:Ridgeway Grocery#3,Ridgeway Grocery,Ridgeway Grocery,food_beverage,tv,channel,2023-03,2023-05,gradual,spend_reduction_artifact:1.00
4,brand:Ridgeway Grocery#4,Ridgeway Grocery,Ridgeway Grocery,food_beverage,"paid_search,affiliate",channel,2024-08,2024-08,sudden,creative_refresh:1.00
5,brand:Ridgeway Grocery#5,Ridgeway Grocery,Ridgeway Grocery,food_beverage,display,channel,2024-02,2024-04,gradual,survivorship_bias:1.00
6,brand:Ridgeway Grocery#6,Ridgeway Grocery,Ridgeway Grocery,food_beverage,"paid_search,social",channel,2023-09,2023-09,sudden,genuine_efficiency_gain:0.42;creative_refresh:0.58
7,brand:Ridgeway Grocery#7,Ridgeway Grocery,Ridgeway Grocery,food_beverage,"tv,paid_search,social,display,retail_media,affiliate,audio",brand_wide,2024-04,2024-06,gradual,mix_shift_artifact:1.00
8,brand:Ridgeway Grocery#8,Ridgeway Grocery,Ridgeway Grocery,food_beverage,"social,display",channel,2023-07,2023-09,gradual,genuine_efficiency_gain:1.00
9,brand:Ridgeway Grocery#9,Ridgeway Grocery,Ridgeway Grocery,food_beverage,display,channel,2025-02,2025-04,gradual,spend_reduction_artifact:1.00
0,brand:Aster Wellness#0,Aster Wellness,Aster Wellness,home_personal_wellness,"audio,display",channel,2024-05,2024-07,gradual,creative_refresh:1.00
1,brand:Aster Wellness#1,Aster Wellness,Aster Wellness,home_personal_wellness,social,channel,2025-06,2025-08,gradual,genuine_efficiency_gain:1.00
2,brand:Aster Wellness#2,Aster Wellness,Aster Wellness,home_personal_wellness,"display,retail_media",channel,2025-05,2025-07,gradual,creative_refresh:1.00
3,brand:Aster Wellness#3,Aster Wellness,Aster Wellness,home_personal_wellness,display,channel,2025-04,2025-04,sudden,spend_reduction_artifact:1.00
4,brand:Aster Wellness#4,Aster Wellness,Aster Wellness,home_personal_wellness,retail_media,channel,2025-09,2025-11,gradual,genuine_efficiency_gain:1.00
5,brand:Aster Wellness#5,Aster Wellness,Aster Wellness,home_personal_wellness,retail_media,channel,2025-02,2025-04,gradual,creative_refresh:1.00
6,brand:Aster Wellness#6,Aster Wellness,Aster Wellness,home_personal_wellness,"audio,display",channel,2025-05,2025-05,sudden,creative_refresh:1.00
7,brand:Aster Wellness#7,Aster Wellness,Aster Wellness,home_personal_wellness,"social,paid_search,digital_video,display,retail_media,audio",brand_wide,2024-06,2024-06,sudden,mix_shift_artifact:1.00
0,brand:Pinebrook Pet Co.#0,Pinebrook Pet Co.,Pinebrook Pet Co.,home_personal_wellness,display,channel,2025-02,2025-04,gradual,genuine_efficiency_gain:1.00
1,brand:Pinebrook Pet Co.#1,Pinebrook Pet Co.,Pinebrook Pet Co.,home_personal_wellness,"social,retail_media",channel,2024-10,2024-10,sudden,creative_refresh:1.00
2,brand:Pinebrook Pet Co.#2,Pinebrook Pet Co.,Pinebrook Pet Co.,home_personal_wellness,retail_media,channel,2025-02,2025-02,sudden,creative_refresh:1.00
3,brand:Pinebrook Pet Co.#3,Pinebrook Pet Co.,Pinebrook Pet Co.,home_personal_wellness,retail_media,channel,2025-06,2025-06,sudden,genuine_efficiency_gain:0.51;creative_refresh:0.49
4,brand:Pinebrook Pet Co.#4,Pinebrook Pet Co.,Pinebrook Pet Co.,home_personal_wellness,display,channel,2025-02,2025-04,gradual,survivorship_bias:1.00
5,brand:Pinebrook Pet Co.#5,Pinebrook Pet Co.,Pinebrook Pet Co.,home_personal_wellness,retail_media,channel,2025-08,2025-08,sudden,spend_reduction_artifact:1.00
0,category:food_beverage#0,CATEGORY,"Solstice Foods,Verdant Snacks,Crestline Beverages,Ridgeway Grocery",food_beverage,"affiliate,audio,digital_video,display,ooh,paid_search,retail_media,social,tv",category_wide,2023-06,2023-06,sudden,external_demand_spike:0.81
1,category:food_beverage#1,CATEGORY,"Solstice Foods,Verdant Snacks,Crestline Beverages,Ridgeway Grocery",food_beverage,"affiliate,audio,digital_video,display,ooh,paid_search,retail_media,social,tv",category_wide,2025-02,2025-02,sudden,external_demand_spike:0.88
2,category:food_beverage#2,CATEGORY,"Solstice Foods,Verdant Snacks,Crestline Beverages,Ridgeway Grocery",food_beverage,"affiliate,audio,digital_video,display,ooh,paid_search,retail_media,social,tv",category_wide,2025-09,2025-09,sudden,external_demand_spike:1.00
0,category:home_personal_wellness#0,CATEGORY,"Nimbus Home,Halcyon Personal Care,Aster Wellness,Pinebrook Pet Co.",home_personal_wellness,"affiliate,audio,digital_video,display,paid_search,retail_media,social",category_wide,2023-11,2024-01,gradual,external_demand_spike:0.80
1,category:home_personal_wellness#1,CATEGORY,"Nimbus Home,Halcyon Personal Care,Aster Wellness,Pinebrook Pet Co.",home_personal_wellness,"affiliate,audio,digital_video,display,paid_search,retail_media,social",category_wide,2025-03,2025-03,sudden,external_demand_spike:0.90
2,category:home_personal_wellness#2,CATEGORY,"Nimbus Home,Halcyon Personal Care,Aster Wellness,Pinebrook Pet Co.",home_personal_wellness,"affiliate,audio,digital_video,display,paid_search,retail_media,social",category_wide,2025-09,2025-09,sudden,external_demand_spike:0.76
